,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,params,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,mean_test_R2,std_test_R2,rank_test_R2
0,0.07539095878601074,0.01168768886564861,0.00529332160949707,0.0013049320196357708,0.01,2,128,0.0001,1e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.0001, 'reg_lambda': 1e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
9,0.06445837020874023,0.005966602836304354,0.004122209548950195,0.0004373939530538773,0.01,2,128,0.001,3e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.001, 'reg_lambda': 3e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
1,0.06384763717651368,0.0011982177991606828,0.0039599895477294925,0.00018290261366688557,0.01,2,128,0.0001,3e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.0001, 'reg_lambda': 3e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
15,0.06572613716125489,0.005961359070592074,0.004059839248657227,0.00015740837332465653,0.01,2,128,0.003,1e-05,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.003, 'reg_lambda': 1e-05}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
14,0.06455602645874023,0.0038179712390235447,0.00409550666809082,0.00031361610707805407,0.01,2,128,0.003,5e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.003, 'reg_lambda': 5e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
13,0.062102746963500974,0.0012467411676331806,0.0068165302276611325,0.003461439572176795,0.01,2,128,0.003,3e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.003, 'reg_lambda': 3e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
12,0.06336374282836914,0.0032043704226369144,0.004158735275268555,0.00036814623440011826,0.01,2,128,0.003,1e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.003, 'reg_lambda': 1e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
10,0.06336522102355957,0.002886876626419525,0.00395660400390625,7.748543665725782e-05,0.01,2,128,0.001,5e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.001, 'reg_lambda': 5e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
11,0.06344466209411621,0.0032689428301332485,0.004065036773681641,0.00023128312824337118,0.01,2,128,0.001,1e-05,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.001, 'reg_lambda': 1e-05}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
8,0.06189651489257812,0.0018182325155510278,0.003946113586425781,0.00013333576035691238,0.01,2,128,0.001,1e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.001, 'reg_lambda': 1e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
7,0.06324443817138672,0.002677467952395377,0.004670858383178711,0.0015579144938136608,0.01,2,128,0.0003,1e-05,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.0003, 'reg_lambda': 1e-05}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
6,0.06287083625793458,0.0035010365664887816,0.004607105255126953,0.0012285452970882355,0.01,2,128,0.0003,5e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.0003, 'reg_lambda': 5e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
5,0.06565475463867188,0.0030961198981121294,0.00400838851928711,9.573194460021206e-05,0.01,2,128,0.0003,3e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.0003, 'reg_lambda': 3e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
4,0.07406501770019532,0.00882479153743793,0.004111194610595703,0.0002745241675885126,0.01,2,128,0.0003,1e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.0003, 'reg_lambda': 1e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
3,0.07211713790893555,0.0025959515085033076,0.004441452026367187,0.00023774779371529906,0.01,2,128,0.0001,1e-05,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.0001, 'reg_lambda': 1e-05}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
2,0.06602911949157715,0.0027373080277024904,0.0042283058166503905,6.331697247179892e-05,0.01,2,128,0.0001,5e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.0001, 'reg_lambda': 5e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
24,0.11544866561889648,0.0031840862112012093,0.004846715927124023,0.00014139790472065763,0.01,2,256,0.001,1e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 256, 'reg_alpha': 0.001, 'reg_lambda': 1e-06}",0.656,0.664,0.668,0.668,0.664,0.8340000000000001,0.004381780460041333,17,0.656,0.664,0.668,0.668,0.664,0.664,0.004381780460041333,17
31,0.11765456199645996,0.00590465967000419,0.004820728302001953,0.00011008326705340335,0.01,2,256,0.003,1e-05,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 256, 'reg_alpha': 0.003, 'reg_lambda': 1e-05}",0.656,0.664,0.668,0.668,0.664,0.8340000000000001,0.004381780460041333,17,0.656,0.664,0.668,0.668,0.664,0.664,0.004381780460041333,17
30,0.11577234268188477,0.0026757465949566748,0.005010223388671875,0.00019585813316119543,0.01,2,256,0.003,5e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 256, 'reg_alpha': 0.003, 'reg_lambda': 5e-06}",0.656,0.664,0.668,0.668,0.664,0.8340000000000001,0.004381780460041333,17,0.656,0.664,0.668,0.668,0.664,0.664,0.004381780460041333,17
28,0.11746315956115723,0.004190314094551918,0.004987049102783203,0.000340131471236729,0.01,2,256,0.003,1e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 256, 'reg_alpha': 0.003, 'reg_lambda': 1e-06}",0.656,0.664,0.668,0.668,0.664,0.8340000000000001,0.004381780460041333,17,0.656,0.664,0.668,0.668,0.664,0.664,0.004381780460041333,17
27,0.11435670852661133,0.0015814289607445607,0.0059334754943847655,0.002006712368626316,0.01,2,256,0.001,1e-05,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 256, 'reg_alpha': 0.001, 'reg_lambda': 1e-05}",0.656,0.664,0.668,0.668,0.664,0.8340000000000001,0.004381780460041333,17,0.656,0.664,0.668,0.668,0.664,0.664,0.004381780460041333,17
26,0.11658639907836914,0.0025350735163856422,0.004862833023071289,0.0001415757066247393,0.01,2,256,0.001,5e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 256, 'reg_alpha': 0.001, 'reg_lambda': 5e-06}",0.656,0.664,0.668,0.668,0.664,0.8340000000000001,0.004381780460041333,17,0.656,0.664,0.668,0.668,0.664,0.664,0.004381780460041333,17
25,0.11866507530212403,0.006675883164460668,0.00480184555053711,8.20846602823423e-05,0.01,2,256,0.001,3e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 256, 'reg_alpha': 0.001, 'reg_lambda': 3e-06}",0.656,0.664,0.668,0.668,0.664,0.8340000000000001,0.004381780460041333,17,0.656,0.664,0.668,0.668,0.664,0.664,0.004381780460041333,17
29,0.11639900207519531,0.0018587998212021301,0.004891633987426758,0.00013359510162869526,0.01,2,256,0.003,3e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 256, 'reg_alpha': 0.003, 'reg_lambda': 3e-06}",0.656,0.664,0.668,0.668,0.664,0.8340000000000001,0.004381780460041333,17,0.656,0.664,0.668,0.668,0.664,0.664,0.004381780460041333,17
23,0.11562471389770508,0.0030988705967536414,0.005240154266357422,0.000890082297616588,0.01,2,256,0.0003,1e-05,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 256, 'reg_alpha': 0.0003, 'reg_lambda': 1e-05}",0.656,0.664,0.668,0.668,0.664,0.8340000000000001,0.004381780460041333,17,0.656,0.664,0.668,0.668,0.664,0.664,0.004381780460041333,17
21,0.11484503746032715,0.0032351302786562857,0.004858255386352539,0.00017590354082059307,0.01,2,256,0.0003,3e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 256, 'reg_alpha': 0.0003, 'reg_lambda': 3e-06}",0.656,0.664,0.668,0.668,0.664,0.8340000000000001,0.004381780460041333,17,0.656,0.664,0.668,0.668,0.664,0.664,0.004381780460041333,17
20,0.11605892181396485,0.00341962371733692,0.004850149154663086,0.0001121570260075303,0.01,2,256,0.0003,1e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 256, 'reg_alpha': 0.0003, 'reg_lambda': 1e-06}",0.656,0.664,0.668,0.668,0.664,0.8340000000000001,0.004381780460041333,17,0.656,0.664,0.668,0.668,0.664,0.664,0.004381780460041333,17
19,0.11692948341369629,0.0039019209337719536,0.00483999252319336,0.0002262746616725687,0.01,2,256,0.0001,1e-05,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 256, 'reg_alpha': 0.0001, 'reg_lambda': 1e-05}",0.656,0.664,0.668,0.668,0.664,0.8340000000000001,0.004381780460041333,17,0.656,0.664,0.668,0.668,0.664,0.664,0.004381780460041333,17
22,0.12882862091064454,0.009962133603607344,0.00637211799621582,0.0027533210534712656,0.01,2,256,0.0003,5e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 256, 'reg_alpha': 0.0003, 'reg_lambda': 5e-06}",0.656,0.664,0.668,0.668,0.664,0.8340000000000001,0.004381780460041333,17,0.656,0.664,0.668,0.668,0.664,0.664,0.004381780460041333,17
18,0.11875267028808593,0.006308436797011595,0.004948568344116211,0.0002530692275522581,0.01,2,256,0.0001,5e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 256, 'reg_alpha': 0.0001, 'reg_lambda': 5e-06}",0.656,0.664,0.668,0.668,0.664,0.8340000000000001,0.004381780460041333,17,0.656,0.664,0.668,0.668,0.664,0.664,0.004381780460041333,17
17,0.11719927787780762,0.002618964359426527,0.004863357543945313,0.00031194140949329294,0.01,2,256,0.0001,3e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 256, 'reg_alpha': 0.0001, 'reg_lambda': 3e-06}",0.656,0.664,0.668,0.668,0.664,0.8340000000000001,0.004381780460041333,17,0.656,0.664,0.668,0.668,0.664,0.664,0.004381780460041333,17
16,0.11623568534851074,0.004285244495052461,0.004910421371459961,0.00010929159676925702,0.01,2,256,0.0001,1e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 256, 'reg_alpha': 0.0001, 'reg_lambda': 1e-06}",0.656,0.664,0.668,0.668,0.664,0.8340000000000001,0.004381780460041333,17,0.656,0.664,0.668,0.668,0.664,0.664,0.004381780460041333,17
69,0.08074398040771484,0.008407084052957025,0.00452733039855957,9.23607849999609e-05,0.01,3,128,0.0003,3e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 128, 'reg_alpha': 0.0003, 'reg_lambda': 3e-06}",0.664,0.66,0.668,0.652,0.668,0.8324000000000001,0.005986651818838312,33,0.664,0.66,0.668,0.652,0.668,0.6624000000000001,0.005986651818838312,33
72,0.07322020530700683,0.0030554849893975264,0.0043831348419189455,5.170669644877984e-05,0.01,3,128,0.001,1e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 128, 'reg_alpha': 0.001, 'reg_lambda': 1e-06}",0.664,0.66,0.668,0.652,0.668,0.8324000000000001,0.005986651818838312,33,0.664,0.66,0.668,0.652,0.668,0.6624000000000001,0.005986651818838312,33
71,0.07265167236328125,0.001956446859325457,0.004284524917602539,0.00010578647131626899,0.01,3,128,0.0003,1e-05,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 128, 'reg_alpha': 0.0003, 'reg_lambda': 1e-05}",0.664,0.66,0.668,0.652,0.668,0.8324000000000001,0.005986651818838312,33,0.664,0.66,0.668,0.652,0.668,0.6624000000000001,0.005986651818838312,33
70,0.07216196060180664,0.0021320144494474127,0.004252243041992188,0.00013053275895769106,0.01,3,128,0.0003,5e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 128, 'reg_alpha': 0.0003, 'reg_lambda': 5e-06}",0.664,0.66,0.668,0.652,0.668,0.8324000000000001,0.005986651818838312,33,0.664,0.66,0.668,0.652,0.668,0.6624000000000001,0.005986651818838312,33
66,0.07330498695373536,0.002355400040299608,0.004284381866455078,0.00013562869995794094,0.01,3,128,0.0001,5e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 128, 'reg_alpha': 0.0001, 'reg_lambda': 5e-06}",0.664,0.66,0.668,0.652,0.668,0.8324000000000001,0.005986651818838312,33,0.664,0.66,0.668,0.652,0.668,0.6624000000000001,0.005986651818838312,33
68,0.07483749389648438,0.0032425661548535325,0.004272890090942383,6.0821958060438755e-05,0.01,3,128,0.0003,1e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 128, 'reg_alpha': 0.0003, 'reg_lambda': 1e-06}",0.664,0.66,0.668,0.652,0.668,0.8324000000000001,0.005986651818838312,33,0.664,0.66,0.668,0.652,0.668,0.6624000000000001,0.005986651818838312,33
67,0.07374038696289062,0.004200882837203131,0.004492425918579101,0.0003187997374633562,0.01,3,128,0.0001,1e-05,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 128, 'reg_alpha': 0.0001, 'reg_lambda': 1e-05}",0.664,0.66,0.668,0.652,0.668,0.8324000000000001,0.005986651818838312,33,0.664,0.66,0.668,0.652,0.668,0.6624000000000001,0.005986651818838312,33
74,0.07283306121826172,0.0022284232487367935,0.00546116828918457,0.0020846759207480553,0.01,3,128,0.001,5e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 128, 'reg_alpha': 0.001, 'reg_lambda': 5e-06}",0.664,0.66,0.668,0.652,0.668,0.8324000000000001,0.005986651818838312,33,0.664,0.66,0.668,0.652,0.668,0.6624000000000001,0.005986651818838312,33
65,0.0723104476928711,0.0012429207766879696,0.0042781829833984375,7.105625676032884e-05,0.01,3,128,0.0001,3e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 128, 'reg_alpha': 0.0001, 'reg_lambda': 3e-06}",0.664,0.66,0.668,0.652,0.668,0.8324000000000001,0.005986651818838312,33,0.664,0.66,0.668,0.652,0.668,0.6624000000000001,0.005986651818838312,33
64,0.07236404418945312,0.001422909720065449,0.0044688224792480465,0.00037577008771165596,0.01,3,128,0.0001,1e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 128, 'reg_alpha': 0.0001, 'reg_lambda': 1e-06}",0.664,0.66,0.668,0.652,0.668,0.8324000000000001,0.005986651818838312,33,0.664,0.66,0.668,0.652,0.668,0.6624000000000001,0.005986651818838312,33
73,0.07745037078857422,0.008950682152245643,0.004380083084106446,0.00013260194082967468,0.01,3,128,0.001,3e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 128, 'reg_alpha': 0.001, 'reg_lambda': 3e-06}",0.664,0.66,0.668,0.652,0.668,0.8324000000000001,0.005986651818838312,33,0.664,0.66,0.668,0.652,0.668,0.6624000000000001,0.005986651818838312,33
77,0.07174592018127442,0.0011479436652873881,0.004312562942504883,0.00010333462792283041,0.01,3,128,0.003,3e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 128, 'reg_alpha': 0.003, 'reg_lambda': 3e-06}",0.664,0.66,0.668,0.652,0.668,0.8324000000000001,0.005986651818838312,33,0.664,0.66,0.668,0.652,0.668,0.6624000000000001,0.005986651818838312,33
75,0.07287011146545411,0.003029705245828119,0.0046711921691894535,0.00071614306722939,0.01,3,128,0.001,1e-05,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 128, 'reg_alpha': 0.001, 'reg_lambda': 1e-05}",0.664,0.66,0.668,0.652,0.668,0.8324000000000001,0.005986651818838312,33,0.664,0.66,0.668,0.652,0.668,0.6624000000000001,0.005986651818838312,33
76,0.07368340492248535,0.0024856628405233805,0.00501708984375,0.001356896613102981,0.01,3,128,0.003,1e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 128, 'reg_alpha': 0.003, 'reg_lambda': 1e-06}",0.664,0.66,0.668,0.652,0.668,0.8324000000000001,0.005986651818838312,33,0.664,0.66,0.668,0.652,0.668,0.6624000000000001,0.005986651818838312,33
78,0.0756711483001709,0.005393718877212605,0.005077648162841797,0.0014380195788504643,0.01,3,128,0.003,5e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 128, 'reg_alpha': 0.003, 'reg_lambda': 5e-06}",0.664,0.66,0.668,0.652,0.668,0.8324000000000001,0.005986651818838312,33,0.664,0.66,0.668,0.652,0.668,0.6624000000000001,0.005986651818838312,33
79,0.07293620109558105,0.0014798551483582935,0.004244709014892578,6.008064935500911e-05,0.01,3,128,0.003,1e-05,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 128, 'reg_alpha': 0.003, 'reg_lambda': 1e-05}",0.664,0.66,0.668,0.652,0.668,0.8324000000000001,0.005986651818838312,33,0.664,0.66,0.668,0.652,0.668,0.6624000000000001,0.005986651818838312,33
80,0.1347663402557373,0.0019969936655949644,0.00578150749206543,0.0004757903911989619,0.01,3,256,0.0001,1e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.0001, 'reg_lambda': 1e-06}",0.664,0.66,0.668,0.652,0.664,0.8316000000000001,0.00542586398650022,49,0.664,0.66,0.668,0.652,0.664,0.6616000000000001,0.00542586398650022,49
81,0.13901257514953613,0.005632461463312302,0.0055942535400390625,0.00012601327502676846,0.01,3,256,0.0001,3e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.0001, 'reg_lambda': 3e-06}",0.664,0.66,0.668,0.652,0.664,0.8316000000000001,0.00542586398650022,49,0.664,0.66,0.668,0.652,0.664,0.6616000000000001,0.00542586398650022,49
82,0.13631086349487304,0.003073356066611318,0.00544271469116211,0.00012423164687476327,0.01,3,256,0.0001,5e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.0001, 'reg_lambda': 5e-06}",0.664,0.66,0.668,0.652,0.664,0.8316000000000001,0.00542586398650022,49,0.664,0.66,0.668,0.652,0.664,0.6616000000000001,0.00542586398650022,49
83,0.1399466037750244,0.004823083933955693,0.0054511547088623045,8.442164541364722e-05,0.01,3,256,0.0001,1e-05,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.0001, 'reg_lambda': 1e-05}",0.664,0.66,0.668,0.652,0.664,0.8316000000000001,0.00542586398650022,49,0.664,0.66,0.668,0.652,0.664,0.6616000000000001,0.00542586398650022,49
84,0.14034805297851563,0.005459811898962921,0.005565071105957031,0.000132513518124976,0.01,3,256,0.0003,1e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.0003, 'reg_lambda': 1e-06}",0.664,0.66,0.668,0.652,0.664,0.8316000000000001,0.00542586398650022,49,0.664,0.66,0.668,0.652,0.664,0.6616000000000001,0.00542586398650022,49
85,0.1371901035308838,0.0031020511644957393,0.005537700653076172,0.00020977780813389614,0.01,3,256,0.0003,3e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.0003, 'reg_lambda': 3e-06}",0.664,0.66,0.668,0.652,0.664,0.8316000000000001,0.00542586398650022,49,0.664,0.66,0.668,0.652,0.664,0.6616000000000001,0.00542586398650022,49
86,0.1364905834197998,0.002040110871713459,0.005465030670166016,0.00018530833102134602,0.01,3,256,0.0003,5e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.0003, 'reg_lambda': 5e-06}",0.664,0.66,0.668,0.652,0.664,0.8316000000000001,0.00542586398650022,49,0.664,0.66,0.668,0.652,0.664,0.6616000000000001,0.00542586398650022,49
91,0.13599534034729005,0.0012214448042853433,0.005489444732666016,0.00017755795936580116,0.01,3,256,0.001,1e-05,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.001, 'reg_lambda': 1e-05}",0.664,0.66,0.668,0.652,0.664,0.8316000000000001,0.00542586398650022,49,0.664,0.66,0.668,0.652,0.664,0.6616000000000001,0.00542586398650022,49
143,0.08382124900817871,0.0037551247107936027,0.004741096496582031,0.00018796365546818318,0.01,4,128,0.003,1e-05,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 128, 'reg_alpha': 0.003, 'reg_lambda': 1e-05}",0.664,0.66,0.664,0.656,0.664,0.8316000000000001,0.0032000000000000028,49,0.664,0.66,0.664,0.656,0.664,0.6616000000000001,0.0032000000000000028,49
89,0.13709521293640137,0.0023106058523048546,0.005593347549438477,0.0002510733248885474,0.01,3,256,0.001,3e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.001, 'reg_lambda': 3e-06}",0.664,0.66,0.668,0.652,0.664,0.8316000000000001,0.00542586398650022,49,0.664,0.66,0.668,0.652,0.664,0.6616000000000001,0.00542586398650022,49
90,0.13973093032836914,0.0035109348794068393,0.005470705032348633,0.00013438032546985292,0.01,3,256,0.001,5e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.001, 'reg_lambda': 5e-06}",0.664,0.66,0.668,0.652,0.664,0.8316000000000001,0.00542586398650022,49,0.664,0.66,0.668,0.652,0.664,0.6616000000000001,0.00542586398650022,49
44,0.22460432052612306,0.0029217519012986366,0.007056903839111328,0.0007789856098213589,0.01,2,512,0.003,1e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 512, 'reg_alpha': 0.003, 'reg_lambda': 1e-06}",0.652,0.664,0.668,0.664,0.66,0.8316000000000001,0.00542586398650022,49,0.652,0.664,0.668,0.664,0.66,0.6616000000000001,0.00542586398650022,49
92,0.13805866241455078,0.004317590266748426,0.005755805969238281,7.750395054285948e-05,0.01,3,256,0.003,1e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.003, 'reg_lambda': 1e-06}",0.664,0.66,0.668,0.652,0.664,0.8316000000000001,0.00542586398650022,49,0.664,0.66,0.668,0.652,0.664,0.6616000000000001,0.00542586398650022,49
93,0.13838281631469726,0.0037244464165646315,0.005489444732666016,9.747239683905934e-05,0.01,3,256,0.003,3e-06,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.003, 'reg_lambda': 3e-06}",0.664,0.66,0.668,0.652,0.664,0.8316000000000001,0.00542586398650022,49,0.664,0.66,0.668,0.652,0.664,0.6616000000000001,0.00542586398650022,49
32,0.22294211387634277,0.002934189112690608,0.006639814376831055,0.0002269975566360058,0.01,2,512,0.0001,1e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 512, 'reg_alpha': 0.0001, 'reg_lambda': 1e-06}",0.652,0.664,0.668,0.664,0.66,0.8316000000000001,0.00542586398650022,49,0.652,0.664,0.668,0.664,0.66,0.6616000000000001,0.00542586398650022,49
33,0.2213951587677002,0.0037360764598282623,0.006607913970947265,0.0001833310575423634,0.01,2,512,0.0001,3e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 512, 'reg_alpha': 0.0001, 'reg_lambda': 3e-06}",0.652,0.664,0.668,0.664,0.66,0.8316000000000001,0.00542586398650022,49,0.652,0.664,0.668,0.664,0.66,0.6616000000000001,0.00542586398650022,49
34,0.22452912330627442,0.002455804520293761,0.006600522994995117,0.0001307019783747987,0.01,2,512,0.0001,5e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 512, 'reg_alpha': 0.0001, 'reg_lambda': 5e-06}",0.652,0.664,0.668,0.664,0.66,0.8316000000000001,0.00542586398650022,49,0.652,0.664,0.668,0.664,0.66,0.6616000000000001,0.00542586398650022,49
35,0.22885026931762695,0.010649865221578932,0.006558656692504883,0.0001895569550106944,0.01,2,512,0.0001,1e-05,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 512, 'reg_alpha': 0.0001, 'reg_lambda': 1e-05}",0.652,0.664,0.668,0.664,0.66,0.8316000000000001,0.00542586398650022,49,0.652,0.664,0.668,0.664,0.66,0.6616000000000001,0.00542586398650022,49
36,0.2224964141845703,0.002259972533892195,0.006634902954101562,0.00030721543109872384,0.01,2,512,0.0003,1e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 512, 'reg_alpha': 0.0003, 'reg_lambda': 1e-06}",0.652,0.664,0.668,0.664,0.66,0.8316000000000001,0.00542586398650022,49,0.652,0.664,0.668,0.664,0.66,0.6616000000000001,0.00542586398650022,49
37,0.22638001441955566,0.0049290384548511985,0.006575393676757813,0.00023768930479932342,0.01,2,512,0.0003,3e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 512, 'reg_alpha': 0.0003, 'reg_lambda': 3e-06}",0.652,0.664,0.668,0.664,0.66,0.8316000000000001,0.00542586398650022,49,0.652,0.664,0.668,0.664,0.66,0.6616000000000001,0.00542586398650022,49
