,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,params,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,mean_test_R2,std_test_R2,rank_test_R2
474,0.16719460487365723,0.0031757926935763064,0.006550216674804687,0.0002114681996715365,0.1,4,256,0.001,5e-06,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 256, 'reg_alpha': 0.001, 'reg_lambda': 5e-06}",0.624,0.6,0.584,0.596,0.604,0.7716000000000001,0.013047605144240085,543,0.624,0.6,0.584,0.596,0.604,0.6016,0.013047605144240085,543
475,0.1628516674041748,0.00445843202570306,0.006497526168823242,0.0001456074087533316,0.1,4,256,0.001,1e-05,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 256, 'reg_alpha': 0.001, 'reg_lambda': 1e-05}",0.624,0.6,0.584,0.596,0.604,0.7716000000000001,0.013047605144240085,543,0.624,0.6,0.584,0.596,0.604,0.6016,0.013047605144240085,543
731,0.14349441528320311,0.004191568294167766,0.005719947814941406,0.00017131727220997688,0.3,3,256,0.001,1e-05,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.001, 'reg_lambda': 1e-05}",0.62,0.608,0.604,0.576,0.6,0.7716000000000001,0.014444376068214243,543,0.62,0.608,0.604,0.576,0.6,0.6016,0.014444376068214243,543
679,0.2286762237548828,0.005376097816675694,0.006102943420410156,0.00018128547319640626,0.3,2,512,0.0003,1e-05,"{'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 512, 'reg_alpha': 0.0003, 'reg_lambda': 1e-05}",0.608,0.588,0.624,0.588,0.596,0.7708,0.013717142559585808,555,0.608,0.588,0.624,0.588,0.596,0.6008,0.013717142559585808,555
721,0.1389538288116455,0.003452577209753446,0.005686426162719726,7.6087672815335e-05,0.3,3,256,0.0001,3e-06,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.0001, 'reg_lambda': 3e-06}",0.628,0.596,0.6,0.572,0.608,0.7708,0.01813725447800743,555,0.628,0.596,0.6,0.572,0.608,0.6008,0.01813725447800743,555
720,0.1450822353363037,0.005185272741144849,0.005685997009277344,9.615801705086243e-05,0.3,3,256,0.0001,1e-06,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.0001, 'reg_lambda': 1e-06}",0.628,0.596,0.6,0.572,0.608,0.7708,0.01813725447800743,555,0.628,0.596,0.6,0.572,0.608,0.6008,0.01813725447800743,555
373,0.445650577545166,0.0015357969311180133,0.009153127670288086,0.0001498345728747084,0.1,2,1024,0.0003,3e-06,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1024, 'reg_alpha': 0.0003, 'reg_lambda': 3e-06}",0.616,0.576,0.592,0.6,0.62,0.7708,0.016079800993793438,555,0.616,0.576,0.592,0.6,0.62,0.6008,0.016079800993793438,555
722,0.13951902389526366,0.0031347308160307417,0.005730867385864258,0.00019136545130922752,0.3,3,256,0.0001,5e-06,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.0001, 'reg_lambda': 5e-06}",0.628,0.596,0.6,0.572,0.608,0.7708,0.01813725447800743,555,0.628,0.596,0.6,0.572,0.608,0.6008,0.01813725447800743,555
723,0.14221158027648925,0.00508860568555345,0.005641317367553711,0.0001349210381023321,0.3,3,256,0.0001,1e-05,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.0001, 'reg_lambda': 1e-05}",0.628,0.596,0.6,0.572,0.608,0.7708,0.01813725447800743,555,0.628,0.596,0.6,0.572,0.608,0.6008,0.01813725447800743,555
724,0.1411996841430664,0.0036497803727174385,0.005726051330566406,0.00018785437855877438,0.3,3,256,0.0003,1e-06,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.0003, 'reg_lambda': 1e-06}",0.616,0.572,0.604,0.612,0.6,0.7708,0.015471263684650988,555,0.616,0.572,0.604,0.612,0.6,0.6008,0.015471263684650988,555
725,0.14119768142700195,0.004962793378079682,0.00676274299621582,0.0019551775750440547,0.3,3,256,0.0003,3e-06,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.0003, 'reg_lambda': 3e-06}",0.616,0.572,0.604,0.612,0.6,0.7708,0.015471263684650988,555,0.616,0.572,0.604,0.612,0.6,0.6008,0.015471263684650988,555
727,0.139459228515625,0.002379569116660824,0.005632781982421875,6.185601751898564e-05,0.3,3,256,0.0003,1e-05,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.0003, 'reg_lambda': 1e-05}",0.616,0.572,0.604,0.612,0.6,0.7708,0.015471263684650988,555,0.616,0.572,0.604,0.612,0.6,0.6008,0.015471263684650988,555
726,0.13850274085998535,0.0013128808887416916,0.006649494171142578,0.0021392828345127846,0.3,3,256,0.0003,5e-06,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.0003, 'reg_lambda': 5e-06}",0.616,0.572,0.604,0.612,0.6,0.7708,0.015471263684650988,555,0.616,0.572,0.604,0.612,0.6,0.6008,0.015471263684650988,555
